"Entry_RSI","Armed_RSI","Stop_Loss","Sell_Pct","Avg_Final_Equity","Median_Final_Equity","Win_Rate","Min_Final_Equity"
30,30,0.06,0.75,138229.890528526,141808.089769336,83.3333333333333,48433.9355667206
20,60,0.05,0.25,138134.141272891,133857.630266189,50,31501.710311861
20,60,0.04,0.25,138122.827141421,129346.466602025,50,32416.6096453834
30,30,0.1,1,138120.80838424,104903.990281129,66.6666666666667,45994.7338056564
30,30,0.02,0.25,137980.928452933,72152.6586428714,33.3333333333333,56544.8278391993
40,50,0.06,0.5,137861.966266489,73061.6441217353,16.6666666666667,64525.4879244583
40,30,0.08,0.75,137399.428661372,145606.86957686,66.6666666666667,53649.0859813762
20,60,0.09,0.25,137319.850820225,119959.215423583,50,52544.0117732483
30,50,0.09,1,137263.305942808,102838.658925379,50,62840.4555973077
15,60,0.08,1,136975.240590575,106857.04076913,50,61580.1874531079
35,35,0.09,1,136894.63654738,129642.663420415,66.6666666666667,37910.110105238
15,60,0.06,1,136592.761487475,106857.04076913,50,64082.637390976
25,50,0.06,1,136508.32969628,98549.6187942707,50,71823.1764026427
30,40,0.08,0.25,136496.542774324,156691.456997924,83.3333333333333,64070.2797048629
20,60,0.07,0.25,136279.452199031,124792.04945444,50,30939.2039406917
30,50,0.01,1,136252.396903923,149672.300672954,83.3333333333333,64618.5163676786
20,60,0.1,0.25,136212.3258053,118541.218758468,50,50984.421070199
20,60,0.07,0.5,136075.084872218,130525.651985727,50,48035.3818562618
30,45,0.02,1,135923.911367355,123518.452258203,66.6666666666667,79693.987719841
10,60,0.07,1,135862.270858758,106857.04076913,50,46400.8655553055
15,60,0.08,0.5,135665.905173912,139393.820512968,66.6666666666667,44471.8342254051
15,60,0.08,0.25,135650.578660104,133167.071645576,66.6666666666667,37964.9181095964
15,30,0.09,0.75,135529.165218358,122066.899970909,66.6666666666667,56876.588390789
20,60,0.06,0.5,135472.061488203,129460.963013936,50,49498.3546991649
20,35,0.1,1,135427.419028017,120637.103890157,66.6666666666667,62798.9024270535
40,50,0.01,0.75,135237.934829044,87192.1276887946,33.3333333333333,26374.9552451676
35,30,0.06,0.5,135196.479234535,136400.484532426,66.6666666666667,64832.4520125692
15,60,0.07,0.5,135185.683346292,139116.013271396,66.6666666666667,45048.175313392
30,30,0.09,1,135131.054110952,114822.653394355,66.6666666666667,75020.7891026545
15,50,0.02,0.5,135067.951329619,66038.6277652155,33.3333333333333,22286.6606917572
15,60,0.06,0.25,135039.091709752,130912.905254208,50,39087.4213909542
20,60,0.06,0.25,134910.155334821,121035.387682871,50,32102.265695906
20,60,0.04,0.75,134892.233756778,112306.545606822,50,77154.7759202561
20,60,0.08,0.5,134854.6280095,129368.148779774,50,58015.1679569959
15,60,0.07,0.25,134846.93905504,133664.028524701,66.6666666666667,38494.2234949756
30,30,0.08,0.75,134552.951515734,136357.71224463,83.3333333333333,65254.1117431319
20,35,0.1,0.5,134548.472224806,137875.638083951,66.6666666666667,63824.982016685
10,60,0.08,0.75,134486.797356526,133777.994228619,66.6666666666667,46167.5042193797
