"Period","RSI_n","Stoch_K_n","Stoch_D_n","Final_Equity"
"2020 - 2025 (Modern Era)",14,7,7,235540.930325808
"2020 - 2025 (Modern Era)",16,7,7,584558.547805948
"2020 - 2025 (Modern Era)",20,7,7,128773.655729427
"2020 - 2025 (Modern Era)",10,10,7,179918.018912582
"2020 - 2025 (Modern Era)",14,10,7,248642.643511677
"2020 - 2025 (Modern Era)",16,10,7,356415.846139517
"2020 - 2025 (Modern Era)",20,10,7,196931.992331457
"2020 - 2025 (Modern Era)",10,14,7,181161.973155298
"2020 - 2025 (Modern Era)",14,14,7,278154.4205441
"2020 - 2025 (Modern Era)",16,14,7,347141.329303951
"2020 - 2025 (Modern Era)",20,14,7,137549.043338103
