"Period","Entry_RSI","Armed_RSI","Stop_Loss","Sell_Pct","Final_Equity"
"2000 - 2005 (Dot-Com Bust)",35,50,0.05,0.25,171380.411665638
"2000 - 2005 (Dot-Com Bust)",40,50,0.05,0.25,303640.496860384
"2000 - 2005 (Dot-Com Bust)",10,55,0.05,0.25,61966.1504245661
"2000 - 2005 (Dot-Com Bust)",15,55,0.05,0.25,52639.8423697612
"2000 - 2005 (Dot-Com Bust)",20,55,0.05,0.25,51414.4786646229
"2000 - 2005 (Dot-Com Bust)",25,55,0.05,0.25,54059.4061671687
"2000 - 2005 (Dot-Com Bust)",30,55,0.05,0.25,55018.1501272429
"2000 - 2005 (Dot-Com Bust)",35,55,0.05,0.25,49388.2666989767
"2000 - 2005 (Dot-Com Bust)",40,55,0.05,0.25,56464.2382729883
"2000 - 2005 (Dot-Com Bust)",10,60,0.05,0.25,276237.778419241
"2000 - 2005 (Dot-Com Bust)",15,60,0.05,0.25,276237.778419241
"2000 - 2005 (Dot-Com Bust)",20,60,0.05,0.25,276237.778419241
"2000 - 2005 (Dot-Com Bust)",25,60,0.05,0.25,242604.939708347
"2000 - 2005 (Dot-Com Bust)",30,60,0.05,0.25,93380.4931669712
"2000 - 2005 (Dot-Com Bust)",35,60,0.05,0.25,79887.0853547203
"2000 - 2005 (Dot-Com Bust)",40,60,0.05,0.25,95623.4755361152
"2000 - 2005 (Dot-Com Bust)",10,65,0.05,0.25,78314.1062328529
"2000 - 2005 (Dot-Com Bust)",15,65,0.05,0.25,44700.1354343188
"2000 - 2005 (Dot-Com Bust)",20,65,0.05,0.25,51503.0626464987
"2000 - 2005 (Dot-Com Bust)",25,65,0.05,0.25,73391.2043245971
"2000 - 2005 (Dot-Com Bust)",30,65,0.05,0.25,94357.4129602242
"2000 - 2005 (Dot-Com Bust)",35,65,0.05,0.25,100470.377314185
"2000 - 2005 (Dot-Com Bust)",40,65,0.05,0.25,106586.114689023
"2000 - 2005 (Dot-Com Bust)",10,70,0.05,0.25,97938.6351295543
"2000 - 2005 (Dot-Com Bust)",15,70,0.05,0.25,97938.6351295543
"2000 - 2005 (Dot-Com Bust)",20,70,0.05,0.25,85870.240936749
"2000 - 2005 (Dot-Com Bust)",25,70,0.05,0.25,88959.1668323493
"2000 - 2005 (Dot-Com Bust)",30,70,0.05,0.25,107651.81158273
"2000 - 2005 (Dot-Com Bust)",35,70,0.05,0.25,101210.473183137
"2000 - 2005 (Dot-Com Bust)",40,70,0.05,0.25,105386.763255855
"2000 - 2005 (Dot-Com Bust)",10,30,0.06,0.25,66929.7727166295
"2000 - 2005 (Dot-Com Bust)",15,30,0.06,0.25,45886.279213779
"2000 - 2005 (Dot-Com Bust)",20,30,0.06,0.25,60604.9246423006
"2000 - 2005 (Dot-Com Bust)",25,30,0.06,0.25,110122.733915753
"2000 - 2005 (Dot-Com Bust)",30,30,0.06,0.25,276937.613285657
"2000 - 2005 (Dot-Com Bust)",35,30,0.06,0.25,223905.909665815
"2000 - 2005 (Dot-Com Bust)",40,30,0.06,0.25,154945.709153243
"2000 - 2005 (Dot-Com Bust)",10,35,0.06,0.25,222030.923269566
"2000 - 2005 (Dot-Com Bust)",15,35,0.06,0.25,203711.459561595
"2000 - 2005 (Dot-Com Bust)",20,35,0.06,0.25,58322.8812074986
"2000 - 2005 (Dot-Com Bust)",25,35,0.06,0.25,76817.5983157512
"2000 - 2005 (Dot-Com Bust)",30,35,0.06,0.25,107499.076291913
"2000 - 2005 (Dot-Com Bust)",35,35,0.06,0.25,89181.0900162518
"2000 - 2005 (Dot-Com Bust)",40,35,0.06,0.25,90130.3056181192
"2000 - 2005 (Dot-Com Bust)",10,40,0.06,0.25,71965.2465335122
"2000 - 2005 (Dot-Com Bust)",15,40,0.06,0.25,98238.73614517
"2000 - 2005 (Dot-Com Bust)",20,40,0.06,0.25,102011.335595198
"2000 - 2005 (Dot-Com Bust)",25,40,0.06,0.25,124123.517496432
"2000 - 2005 (Dot-Com Bust)",30,40,0.06,0.25,283199.863781395
"2000 - 2005 (Dot-Com Bust)",35,40,0.06,0.25,89687.6971651607
"2000 - 2005 (Dot-Com Bust)",40,40,0.06,0.25,117841.454680124
"2000 - 2005 (Dot-Com Bust)",10,45,0.06,0.25,80553.5722876989
"2000 - 2005 (Dot-Com Bust)",15,45,0.06,0.25,142158.602529393
"2000 - 2005 (Dot-Com Bust)",20,45,0.06,0.25,87778.5665764909
